,HT ratio,MHT ratio,HTKIS ratio,O ratio,MLT ratio,LT ratio
mean,1.944655115415281e-05,1.944655115415281e-05,1.9446551154152807e-05,1.944655115415281e-05,1.944655115415281e-05,1.9446551154152807e-05
std,0.0002238265035862584,0.00022928735433131036,0.000218556852690489,0.00012937724687750048,0.00010757179085850129,0.00013823699872754267
min,0.0,0.0,0.0,0.0,0.0,0.0
max,0.013403542364767831,0.02466157351561453,0.016475277940315974,0.009879605063065781,0.004610021033220964,0.008019805432546462
